0;1;2;3;4;5
197;Dilip Shankar;1970;['Orígenes', 'Viaje a Darjeeling', 'La vida de Pi', 'Bhaag Milkha Bhaag'];['Reparto', 'Dirección de casting', 'Casting'];Sin oscar
198;Veronika Zeleznik;No data;['Jezdeca', 'Ja, Chef', '2022 • 1 episodio', 'Maja Dolenc'];['Reparto'];Sin oscar
199;Doruk Yilmaz;No data;['Söhretler Okulu'];['Reparto'];Sin oscar
200;Stacie Alston;No data;['Imposter Pastor', 'Hit A Lick 2', 'Bless Your Heart'];['Reparto'];Sin oscar
201;Andy Ashton;No data;['And All Who Sail in Her', 'Monster On'];['Reparto', 'Guion'];Sin oscar
202;Enrique Murciano;1973;[''];['Reparto', 'Producción'];Sin Oscar
203;Alicia Restivo;No data;[''];['Reparto', 'Producción', 'Dirección de la segunda unidad o asistencia a dirección'];Sin oscar
204;Asami Seto;1993;['Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai', '2018 • 13 episodios', '2015', 'Lan(voz)', 'Serie de TV'];['Reparto', 'Música', 'Banda sonora'];Sin Oscar
205;Mikako Komatsu;1988;['Re: Creators', '2017 • 20 episodios', 'Tachibana, Hotaru', 'Aizawa(voz)', 'Serie de TV'];['Reparto', 'Música', 'Banda sonora'];Sin Oscar
206;Abhishekh Khan;1996;['Bard of Blood', '2019 • 5 episodios', 'Johnny - Data Analyst 9191', 'Reparto', '2020'];['Reparto'];Sin oscar
207;Moran Rosenblatt;1985;[''];['Reparto', 'Dirección', 'Guion'];Sin Oscar
208;Alex Denysov;1993;['10 Years Down the Road', 'Have Some Sleep', 'Once Upon a Time... I', 'El Panameño'];['Reparto', 'Producción', 'Dirección de fotografía y cámara'];Sin Oscar
209;Hiather Darnel-Kadonaga;No data;['V F C'];['Reparto'];Sin oscar
210;Robert Walker;1918;[''];['Reparto', 'Banda sonora'];Sin Oscar
211;Nick Messersmith;1985;[''];['Reparto', 'Especialistas', 'Dirección'];Sin oscar
212;Èlia Solé;No data;"[""Estudi d'actors"", 'Girasoles silvestres', 'Polseres vermelles', '2013 • 6 episodios', 'Sílvia(as Elia Solé)']";['Reparto'];Sin oscar
213;Tyrell Oberle;No data;[''];['Reparto'];Sin Oscar
214;Kameron Hale;No data;['Entropy', 'Leave This House', 'Edición', 'Edición'];['Edición', 'Dirección', 'Guion'];Sin Oscar
215;Maxime Gorbatchevsky;No data;"[""L'Amour du Monde"", 'Ondes de choc', '2018 • 1 episodio', '2021', '2022']";['Reparto'];Sin oscar
216;Travis Cure;No data;[''];['Reparto', 'Producción'];Sin oscar
217;Morgan Bass;No data;['Judge Mathis', '2021–2023 • 2 episodios', 'Casting', 'Guion', 'Dirección'];['Producción', 'Equipos adicionales', 'Casting'];Sin oscar
218;Ton Gras;No data;['Inconscientes', 'Rescate', 'Afterwater', '¡Excusas!'];['Reparto'];Sin oscar
219;Hamilton Boudreaux;No data;['Letters Home'];['Reparto'];Sin oscar
220;Fintan Kelly;No data;['Release', 'Doomsday for Nine', 'Corto', '6,8'];['Reparto'];Sin oscar
221;Heidi Fecht;No data;[''];['Reparto', 'Producción'];Sin oscar
222;Ottavia Ratazzi;No data;['Final Score'];['Reparto'];Sin oscar
223;Tristan Ruggeri;No data;[''];['Reparto'];Sin oscar
