Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,Thillalangadi,2010,7,tt1503179,Action
Movie,In III Dragon,2010,12,tt1504245,Action
Movie,Alone,2010,4,tt1504989,Action
Movie,Naan Mahaan Alla,2010,8,tt1507005,Action
Movie,The Grind,2010,5,tt1509269,Action
Movie,Oxy-Morons,2010,por estrenar,tt1510926,Action
Movie,Super,2010,6,tt1512235,Action
Movie,Carpet Racers,2010,4,tt1512738,Action
Movie,Aayirathil Oruvan,2010,1,tt1512888,Action
Movie,Terrible Things,2010,3,tt1514054,Action
Movie,Karl the Butcher vs Axe,2010,9,tt1517076,Action
Movie,Better Mus' Come,2010,,tt1517621,Action
Movie,The Blood Bond,2010,1,tt1520399,Action
Movie,The Diamonds of Metro Valley,2010,4,tt1520408,Action
Movie,Broken Springs,2010,,tt1521709,Action
Movie,Curse of the Shaolin,2010,por estrenar,tt1522276,Action
Movie,Arctic Blast,2010,5,tt1523267,Action
Movie,Knucklehead,2010,10,tt1524131,Action
Movie,Gantz,2010,1,tt1525835,Action
Movie,Ajeossi,2010,8,tt1527788,Action
Movie,Last Kung Fu Monk,2010,10,tt1527823,Action
Movie,Disrupt/Dismantle,2010,4,tt1528225,Action
Movie,Caos,2010,9,tt1528280,Action
Movie,Route Irish,2010,6,tt1528312,Action
Movie,The Devil's 6 Commandments,2010,11,tt1528806,Action
Movie,Born to Raise Hell,2010,12,tt1528718,Action
Movie,Kommandør Treholt & ninjatroppen,2010,8,tt1528769,Action
Movie,Szinglik éjszakája,2010,2,tt1530545,Action
Movie,Rocksteady,2010,10,tt1530996,Action
Movie,The Traveler,2010,11,tt1533084,Action
Movie,Rang zi dan fei,2010,12,tt1533117,Action
Movie,Zeburâman: Zebura Shiti no gyakushû,2010,5,tt1534568,Action
Movie,Cheung wong ji wong,2010,6,tt1535495,Action
Movie,Sin yan,2010,8,tt1535492,Action
Movie,Cheburashka,2010,12,tt1535430,Action
Movie,Ui-hyeong-je,2010,2,tt1535491,Action
Movie,Hometown Glory,2010,,tt1536420,Action
Movie,Ejder Kapani,2010,1,tt1538819,Action
Movie,Treasure of the Black Jaguar,2010,,tt1540084,Action
Movie,Amphibious 3D,2010,11,tt1540761,Action
Movie,Consumption,2010,,tt1545043,Action
Movie,À bout portant,2010,12,tt1545759,Action
Movie,The Kane Files: Life of Trial,2010,5,tt1546420,Action
Movie,The Forgotten Jewel,2010,2,tt1550643,Action
Movie,Sweet Science,2010,4,tt1550623,Action
Movie,Changing Hands,2010,4,tt1551615,Action
Movie,Grim,2010,7,tt1552034,Action
Movie,Strangulation,2010,por estrenar,tt1553419,Action
Movie,"Aballay, el hombre sin miedo",2010,6,tt1554426,Action
Movie,Airiseu: Deo mubi,2010,11,tt1555024,Action
Movie,Garo: Red Requiem,2010,10,tt1554970,Action
Movie,Tropa de Elite 2: O Inimigo Agora é Outro,2010,9,tt1555149,Action
Movie,The Vigilante,2010,por estrenar,tt1555156,Action
Movie,Air,2010,por estrenar,tt1558247,Action
Movie,Knock Out,2010,10,tt1558578,Action
Movie,Comme les cinq doigts de la main,2010,4,tt1558741,Action
Movie,The Animal I've Become,2010,7,tt1560182,Action
Movie,Theft by Deception,2010,12,tt1560988,Action
Movie,Gun,2010,9,tt1560954,Action
Movie,Essential Killing,2010,9,tt1561768,Action
Movie,To Die Is Hard,2010,,tt1562904,Action
Movie,Golmaal 3,2010,11,tt1562859,Action
Movie,Resurrection of Serious Rogers,2010,8,tt1564907,Action
Movie,Bokkusu!,2010,5,tt1564559,Action
Movie,Eskrimadors,2010,7,tt1564048,Action
Movie,Hunt to Kill,2010,11,tt1563719,Action
Movie,Skyline,2010,2,tt1564585,Action
Movie,Into the Cold: A Journey of the Soul,2010,4,tt1567344,Action
Movie,The Agency: Pursuit of the Ares Virus,2010,1,tt1567156,Action
Movie,Samurai sentai Shinkenjâ tai Gôonjâ Ginmakuban!,2010,1,tt1567735,Action
Movie,Between Kings and Queens,2010,12,tt1567755,Action
Movie,Dark Target,2010,2,tt1568324,Action
Movie,Beatdown,2010,2,tt1568323,Action
Movie,As Night Falls,2010,10,tt1568802,Action
Movie,Kutsal Damacana 2: Itmen,2010,1,tt1570619,Action
Movie,Opstandelsen,2010,8,tt1571408,Action
Movie,See piu fung wan,2010,1,tt1572168,Action
Movie,Striker,2010,2,tt1573482,Action
Movie,Kajínek,2010,8,tt1573109,Action
Movie,San Martín: El cruce de Los Andes,2010,4,tt1576458,Action
Movie,BoardHeads,2010,,tt1574541,Action
Movie,The Night Cook,2010,,tt1576476,Action
Movie,Underground,2010,3,tt1577111,Action
Movie,Repeaters,2010,9,tt1580426,Action
Movie,Re-Generator,2010,1,tt1578265,Action
Movie,Atlantis Down,2010,10,tt1578259,Action
